cluster_id,representative,size,members
0,A0A0P0HPJ7,11,A0A0P0HPJ7; A0A0P0I1L2; A0A1B2ZDL5; A0A513Q0I9; A0A513Q0K7; A0A513Q0N9; A0A6G5P725; A0A6G5P735; A0A6G5P7E2; A0A6G5P7N5; A0A6M2R6F9
1,H2ESE9,1,H2ESE9
2,A0A2L0ARS9,10,A0A2L0ARS9; A0A3G2VQF6; A0A3G2VQF7; A0A3G2VT76; A0A3G2VT86; A0A3G2VT97; A0A894YSJ0; A0A894YVA2; A0A894YX64; A0A894Z8D8
3,A0A0H4ATG6,2,A0A0H4ATG6; A0A8F0SSI7
4,V5NEJ8,1,V5NEJ8
5,A0A076JTS1,117,A0A076JTS1; A0A077AY72; A0A097C0P4; A0A097C0P8; A0A097C0Q4; A0A097C0R6; A0A0N9H8H9; A0A0P0HYK3; A0A0P0IA69; A0A0P0IAB1; A0A0P0IAD6; A0A0P0IJ46; A0A0P0IJD4; A0A0P0IRS8; A0A0P0IS50; A0A0P0IWP8; A0A0P0IWU0; A0A0S2Z2H1; A0A0S2Z2J5; A0A0S2Z369; A0A3G5BD48; A0A3S9JNI0; A0A5B8WBK0; A0A6C0R645; A0A7D7FB50; A0A7D7FD16; A0A7D7FTJ3; A0A7D7J6N0; A0A7G6KLS7; A0A7G8P653; A0A7G8P655; A0A7H0M7L0; A0A7L8Y6D5; A0A7L8Y6E8; A0A7L8Y6F2; A0A7L8Y6G0; A0A7L8Y6H2; A0A7L8Y6I7; A0A7L8Y6I8; A0A7L8Y6J1; A0A7L8Y6L3; A0A7L8Y6M3; A0A7L8Y6N2; A0A7L8Y6P0; A0A7L8Y6P3; A0A7L8Y6P4; A0A7L8Y6P6; A9YCA0; A9YCA2; A9YCB0; B3U119; B3U121; B3U124; B3U144; B3U166; B6V7D5; D3UDX7; D3UDX9; D3UDY9; D3UE35; D4AHZ0; D6CHU5; E2JA02; E2JA03; E2JA04; E2JA07; E2JA08; E2JA09; E3VNJ9; E5L8C7; J3SBA8; J3SMU7; J3SN87; J7FD54; K7WHG2; K7WLT6; P89316; P89319; Q206Z7; Q207A0; Q207A6; Q2HZZ9; Q2I004; Q2MJ82; Q2PZ27; Q308G9; Q308I2; Q38IT3; Q38IT8; Q38IU3; Q5UAX6; Q6DT43; Q75U75; Q80KB7; Q80KC2; Q85128; Q85132; Q85143; Q85147; Q85178; Q85182; Q8JN37; Q8JN45; Q8JN47; Q8JN56; Q8JYD9; Q8JYE3; Q9DPM3; Q9DPM9; Q9E3S5; Q9J0W3; Q9PZT4; Q9WAS9; S5YSD7; S5YYL8; S5Z641; S5ZHI4
6,A0A1W5PTD5,3,A0A1W5PTD5; Q88272; Q9J0X6
7,A0A5P8D2N8,1,A0A5P8D2N8
8,P87584,1,P87584
9,Q9J0X4,1,Q9J0X4
10,A0A7L7YQG4,1,A0A7L7YQG4
11,A0A7L7YQM5,2,A0A7L7YQM5; A0A7L7YTU6
12,A0AAD1KXG4,1,A0AAD1KXG4
13,A0A8A4XE71,1,A0A8A4XE71
14,A0A6G5P6T4,89,A0A077K9N3; A0A0A7HS01; A0A0D4BT25; A0A0D4BT27; A0A0D4BT85; A0A0D4BTC4; A0A0D4BTX5; A0A0K0TQ14; A0A218KL55; A0A290YK07; A0A2U9AUQ3; A0A2U9AUS3; A0A2U9AUW7; A0A2U9AV19; A0A346TH49; A0A513PZL5; A0A513PZL8; A0A513PZL9; A0A513PZM0; A0A513PZM1; A0A513PZN0; A0A513PZN1; A0A513PZN2; A0A513PZN7; A0A513PZP9; A0A513PZQ0; A0A513PZQ1; A0A513PZR2; A0A513PZR4; A0A513PZS0; A0A513PZS4; A0A513PZS6; A0A513PZT8; A0A513PZT9; A0A513PZU3; A0A513PZU5; A0A513PZU7; A0A513PZV0; A0A513PZV2; A0A513PZV3; A0A6G5P6Q7; A0A6G5P6R0; A0A6G5P6R4; A0A6G5P6S9; A0A6G5P6T4; A0A6G5P6T7; A0A6G5P6T8; A0A6G5P6U4; A0A6G5P703; A0A6G5P714; A0A7G3G417; A0A7T7WWM9; A0A8F5V5B4; I7BV23; I7BV28; I7C5E3; I7C5E7; I7CS42; I7CS47; I7D2D7; I7D5T7; I7D5U1; I7D5U6; J7JQC7; R4TUY0; R4TUY9; R4TUZ2; R4TUZ5; R4TX96; R4TXA0; R4TXA3; R4TXA7; R4U4I0; R4U4I6; R4U4J1; R4U4N9; R4U8Z6; R4U8Z9; R4U903; R4U908; R4UB83; R4UB88; R4UB92; R4UB94; R4VJL5; R4VVH3; R4W0T9; V9TPM6; V9TT46
15,A0A0A7KU74,1,A0A0A7KU74
16,A0A1L3KNY9,4,A0A1L3KNY9; A0A649Y9V1; A0A6M3YNI9; A0A6M3YNJ4
17,A0A5K7R9C6,23,A0A0U4ARS6; A0A4Y5R9Y7; A0A4Y5RBU3; A0A5K7R9C6; A0A5K7R9Q3; A0A6G5P6T9; A0A7T7WWI0; F8SYF4; F8SYG4; F8SYG6; F8SYG8; F8SYJ0; G1C5F8; G1C5G7; G1C5H1; G1C5H8; G1C5I9; I4CM99; I4CMA2; I4CMA5; I4CMA8; I6SNA5; R4TV18
18,A0A0A1CNM0,23,A0A0A1CNM0; A0A0C4L9D8; A0A0C4LBF6; A0A3G2LVC1; A0A510B167; A0A510B1A7; A0A510B1A9; A0A510B1B1; A0A510B1B8; A0A510B1C7; A7J3Q5; A7J3R1; A7J3R3; B0YZG5; B0YZG9; B0YZI5; D0FM85; D1M7U6; F6KS54; H9A273; H9A279; J9PNL0; K4ES36
19,A0A0S2E7U9,6,A0A0B5CMV4; A0A0S2E7U9; A0A1J0F5D5; A0A2I7YUU3; A0A8A5YNF4; Q918V1
20,A0A2Z3D894,1,A0A2Z3D894
21,A0A0N7IS22,5,A0A0N7IS22; A0A0P0ICF5; A0A0P0IQB8; A0A0P0J4J8; A0A193AUR8
22,A0A6M3YRX2,2,A0A6M3YRX2; A0A6M3YS86
23,H2ESE5,1,H2ESE5
24,H9A288,1,H9A288
25,A0A0B4N000,1,A0A0B4N000
26,A0A2Z3D7V2,1,A0A2Z3D7V2
27,A0A871HZ70,1,A0A871HZ70
28,A0A8A4XCN6,1,A0A8A4XCN6
29,A0AAU7DZS9,1,A0AAU7DZS9
30,A0A7L7YQP0,2,A0A7L7YQP0; A0A7L7YTI4
31,A0A7L7YTJ1,1,A0A7L7YTJ1
32,A0A8E9ZVY9,1,A0A8E9ZVY9
